Address,City,State,Zip,Lat,Lng,Accuracy Score,VANPCTCODE
23932 MEADOW RD,ADEL,IA,50003,41.59978,-94.0146,1,1593468
306 W 3RD ST,WOODWARD,IA,50276,41.85598,-93.9261,1,1593469
605 SE BOONE DR,WAUKEE,IA,50263,41.60671,-93.8322,1,1593470
605 SE BOONE DR,WAUKEE,IA,50263,41.60671,-93.8322,1,1593471
801 NILE KINNICK DR,ADEL,IA,50003,41.61045,-94.0167,1,1593472
317 SPRUCE ST,DE SOTO,IA,50069,41.53578,-94.0093,1,946878
1375 HIGH ST,REDFIELD,IA,50233,41.59237,-94.1976,0.6,1593473
1200 18TH ST,PERRY,IA,50220,41.83924,-94.0821,1,946883
1600 18TH ST,PERRY,IA,50220,41.8434,-94.0968,1,946884
1200 18TH ST,PERRY,IA,50220,41.83924,-94.0821,1,946885
1600 8TH ST,PERRY,IA,50220,41.84427,-94.0967,1,1593474
1400 VINE ST,DALLAS CENTER,IA,50063,41.68068,-93.9613,1,1593475
1375 HIGH ST,REDFIELD,IA,50233,41.59237,-94.1976,0.6,1593476
200 SE 37TH ST,GRIMES,IA,50111,41.65661,-93.7914,1,1593477
200 SE 37TH ST,GRIMES,IA,50111,41.65661,-93.7914,1,1593478
5050 170TH ST,URBANDALE,IA,50323,41.62563,-93.7937,0.33,1593479
910 MAIN ST,VAN METER,IA,50261,41.6175,-94.0194,0.8,946889
2200 STATE STREET,GRANGER,IA,50109,41.76176,-93.8206,1,1593480
400 LOCUST ST,WAUKEE,IA,50263,41.61058,-93.8869,0.6,946892
16400 DOUGLAS PKWY,CLIVE,IA,50325,41.62747,-93.8446,1,946893
1200 WARRIOR LANE,WAUKEE,IA,50263,41.59964,-93.8742,1,946894
16400 DOUGLAS PKWY,CLIVE,IA,50325,41.62747,-93.8446,1,946895
1200 WARRIOR LN,WAUKEE,IA,50263,41.59964,-93.8742,1,1593481
400 LOCUST ST,WAUKEE,IA,50263,41.61058,-93.8869,0.6,1593482
6075 MILLS CIVIC PKWY,WEST DES MOINES,IA,50266,41.55931,-93.7923,1,1593483
No data,No data,IA,,42.28192,-94.1108,1,1593484
33365 335TH ST,WAUKEE,IA,50263,41.55832,-93.8406,1,1593485
33365 335TH ST,WAUKEE,IA,50263,41.55832,-93.8406,1,1593486
9155 ASHWORTH RD,WEST DES MOINES,IA,50266,41.58432,-93.7811,0.6,1593487
6075 MILLS CIVIC PKWY,WEST DES MOINES,IA,50266,41.55931,-93.7923,1,1593488
1120 S 95TH ST,WEST DES MOINES,IA,50266,41.54975,-93.8403,1,1593489
1120 S 95TH ST,WEST DES MOINES,IA,50266,41.54975,-93.8403,1,1593490
503 E LOCUST ST,BLOOMFIELD,IA,52537,40.75283,-92.4058,1,946897
503 E LOCUST ST,BLOOMFIELD,IA,52537,40.75283,-92.4058,1,946898
503 E LOCUST ST,BLOOMFIELD,IA,52537,40.75283,-92.4058,1,946899
503 E LOCUST ST,BLOOMFIELD,IA,52537,40.75283,-92.4058,1,946900
503 E LOCUST ST,BLOOMFIELD,IA,52537,40.75283,-92.4058,1,946901
503 E LOCUST ST,BLOOMFIELD,IA,52537,40.75283,-92.4058,1,946902
503 E LOCUST ST,BLOOMFIELD,IA,52537,40.75283,-92.4058,1,946903
503 E LOCUST ST,BLOOMFIELD,IA,52537,40.75283,-92.4058,1,946904
1 UNIVERSITY PL.,LAMONI,IA,50140,40.61637,-93.9229,1,948204
209 N. BRIDGE ST.,DAVIS CITY,IA,50065,40.63958,-93.8085,0.8,946905
1201 NE POPLAR ST.,LEON,IA,50144,40.74815,-93.743,1,946916
1201 NE POPLAR ST.,LEON,IA,50144,40.74815,-93.743,1,946907
1201 NE POPLAR ST.,LEON,IA,50144,40.74815,-93.743,1,946915
1201 NE POPLAR ST.,LEON,IA,50144,40.74815,-93.743,1,946909
122 BROADWAY ST.,GRAND RIVER,IA,50108,40.81819,-93.9625,1,946910
210 MAIN ST,RYAN,IA,52330,42.35141,-91.4823,1,1593491
409 EAST ST,EDGEWOOD,IA,52035,42.63927,-91.1978,1,946919
1001 DOCTOR ST,MANCHESTER,IA,52057,42.49331,-91.4505,1,1593492
107 SOUTH ST,DELHI,IA,52223,42.42673,-91.3284,1,946920
409 EAST ST.,EDGEWOOD,IA,52035,42.63927,-91.1978,1,1593493
1001 DOCTOR ST,MANCHESTER,IA,52057,42.49331,-91.4505,1,946923
1001 DOCTOR ST,MANCHESTER,IA,52057,42.49331,-91.4505,1,946924
1001 DOCTOR ST,MANCHESTER,IA,52057,42.49331,-91.4505,1,946925
1001 DOCTOR ST,MANCHESTER,IA,52057,42.49331,-91.4505,1,1593494
226 PROSPECT ST,EARLVILLE,IA,52041,42.48246,-91.276,1,1593495
117 N CENTER ST,DUNDEE,IA,52038,42.57908,-91.5469,1,1593496
115 S 1ST ST,HOPKINTON,IA,52237,42.34346,-91.2474,0.9,1593497
725 N NORTHFIELD ST,MEDIAPOLIS,IA,52601,41.01393,-91.161,0.9,946945
419 S MAIN ST,DANVILLE,IA,52623,40.86047,-91.3155,1,946943
16282 US 34,WEST BURLINGTON,IA,52655,40.82751,-91.2429,1,946944
725 N NORTHFIELD ST,MEDIAPOLIS,IA,52601,41.01393,-91.161,0.9,946946
20454 EASTERN AVE,YARMOUTH,IA,,41.02662,-91.3224,1,946947
3075 SUNNYSIDE AVE,BURLINGTON,IA,52601,40.83299,-91.1386,1,1593499
2040 SUNNYSIDE AVE,BURLINGTON,IA,52601,40.83252,-91.1181,1,1593500
709 SOUTH STARR,BURLINGTON,IA,52601,40.80203,-91.1233,1,1593501
421 TERRACE DRIVE,BURLINGTON,IA,52601,40.80552,-91.1364,1,1593502
800 SOUTH ST,BURLINGTON,IA,52601,40.79692,-91.1075,1,1593503
2804 S 14TH ST,BURLINGTON,IA,52601,40.77719,-91.1122,1,1593504
3000 MASON ROAD,BURLINGTON,IA,52601,40.79639,-91.1361,1,1593505
2132 MADISON AVE.,BURLINGTON,IA,52601,40.78578,-91.1066,1,1593506
2040 SUNNYSIDE AVE,BURLINGTON,IA,52601,40.83252,-91.1181,1,1593498
3000 MASON ROAD,BURLINGTON,IA,52601,40.79639,-91.1361,1,1593507
408 W VAN WEISS BLVD,WEST BURLINGTON,IA,52655,40.81813,-91.1613,1,946949
1600 15TH ST.,SPIRIT LAKE,IA,51360,43.4256,-95.1138,1,1593508
806 N AVE,MILFORD,IA,51351,43.32334,-95.1513,1,1593509
1600 15TH ST.,SPIRIT LAKE,IA,51360,43.4256,-95.1138,1,1593510
1600 15TH ST.,SPIRIT LAKE,IA,51360,43.4256,-95.1138,1,1593511
1600 15TH ST.,SPIRIT LAKE,IA,51360,43.4256,-95.1138,1,1593512
1600 15TH ST.,SPIRIT LAKE,IA,51360,43.4256,-95.1138,1,1593513
1600 15TH ST.,SPIRIT LAKE,IA,51360,43.4256,-95.1138,1,1593514
1600 15TH ST.,SPIRIT LAKE,IA,51360,43.4256,-95.1138,1,1593515
1600 15TH ST.,SPIRIT LAKE,IA,51360,43.4256,-95.1138,1,1593516
1600 15TH ST.,SPIRIT LAKE,IA,51360,43.4256,-95.1138,1,1593517
806 N AVE,MILFORD,IA,51351,43.32334,-95.1513,1,1593518
806 N AVE,MILFORD,IA,51351,43.32334,-95.1513,1,1593519
806 N AVE,MILFORD,IA,51351,43.32334,-95.1513,1,1593520
806 N AVE,MILFORD,IA,51351,43.32334,-95.1513,1,1593521
806 N AVE,MILFORD,IA,51351,43.32334,-95.1513,1,1593522
51 N GRANDVIEW AVE,DUBUQUE,IA,52001,42.49245,-90.6871,1,946950
1068 CEDAR CROSS RD.,DUBUQUE,IA,52003,42.47937,-90.7088,1,946951
2001 RADFORD RD,DUBUQUE,IA,52002,42.50553,-90.7523,1,946952
3715 PENNSYLVANIA AVE,DUBUQUE,IA,52202,42.50148,-90.7338,0.9,946953
2135 WOODLAND DR.,DUBUQUE,IA,52002,42.50886,-90.7234,1,946954
3170 SPRING VALLEY RD.,DUBUQUE,IA,52001,42.52077,-90.7185,1,946955
3259 ST. ANNE DR.,DUBUQUE,IA,52001,42.50275,-90.7195,1,946956
2310 CHANEY RD,DUBUQUE,IA,52001,42.51166,-90.7041,1,946957
LORAS BLVD/ COX ST,DUBUQUE,IA,52001,42.50335,-90.6782,1,1593531
2520 PENNSYLVANIA AVE,DUBUQUE,IA,52001,42.49908,-90.7029,1,946959
2540 CENTRAL AVE,DUBUQUE,IA,52001,42.51885,-90.6744,1,946960
3450 CENTRAL AVE,DUBUQUE,IA,52001,42.52956,-90.6841,1,946961
801 DAVIS ST,DUBUQUE,IA,52001,42.53027,-90.6701,1,946962
605 LINCOLN AVE,DUBUQUE,IA,52001,42.5154,-90.6661,1,946963
1450 RHOMBERG AVE,DUBUQUE,IA,52001,42.5225,-90.6573,1,946964
1151 WHITE ST,DUBUQUE,IA,52001,42.50455,-90.6658,1,946965
700 MAIN ST,DUBUQUE,IA,52001,42.50022,-90.6667,1,946966
1800 CLARKE DR,DUBUQUE,IA,52001,42.50652,-90.6906,1,946967
51 N GRANDVIEW AVE,DUBUQUE,IA,52001,42.49245,-90.6871,1,946968
1280 RUSH ST,DUBUQUE,IA,52003,42.48579,-90.677,1,946969
15766 CLOVER LANE,ASBURY,IA,52002,42.51433,-90.7952,0.9,946971
2007 RADFORD RD,DUBUQUE,IA,52002,42.50699,-90.7542,1,946972
505 JOHNSON ST. NW,CASCADE,IA,52033,42.3012,-91.0185,1,946973
8342 NICC DR.,PEOSTA,IA,52068,42.4449,-90.8457,1,946974
1992 MAIN ST,NEW VIENNA,IA,52065,42.5478,-91.1139,1,946975
12015 SHERRILL RD,DUBUQUE,IA,52002,42.56829,-90.7214,1,946976
203 2ND ST. SW,DYERSVILLE,IA,52040,42.48358,-91.127,1,946977
203 2ND ST SW,DYERSVILLE,IA,52040,42.48358,-91.127,1,946978
216 1ST AVE. WEST,WORTHINGTON,IA,52078,42.39686,-91.1211,1,946979
204 1ST AVE NW,FARLEY,IA,52041,42.42749,-91.3273,0.9,946980
201 JACOBY DR. E,EPWORTH,IA,52045,42.44083,-90.9292,1,946981
563 BALLTOWN RD,SHERILL,IA,52073,42.63916,-90.8693,1,946982
100 TOWER DR,DUBUQUE,IA,52003,42.46002,-90.6797,1,946983
547 ROLUS ST,BERNARD,IA,52032,42.31407,-90.8312,1,946984
14569 OLD HWY RD,DUBUQUE,IA,52002,42.4828,-90.7712,1,946985
519 6TH ST,ARMSTRONG IA,IA,50514,43.39566,-94.4804,1,946989
300 S 18TH ST,ESTHERVILLE,IA,51334,43.3973,-94.818,1,946992
5 W MAPLE ST,RINGSTED,IA,50578,43.29557,-94.5092,1,946993
300 S 18TH ST,ESTHERVILLE,IA,51334,43.3973,-94.818,1,946994
300 18TH ST,ESTHERVILLE,IA,51334,43.3973,-94.818,0.9,946995
300 S 18TH ST,ESTHERVILLE,IA,51334,43.3973,-94.818,1,946996
300 S 18TH ST,ESTHERVILLE,IA,51334,43.3973,-94.818,1,946997
300 S 18TH ST,ESTHERVILLE,IA,51334,43.3973,-94.818,1,946998
300 S 18TH ST,ESTHERVILLE,IA,51334,43.3973,-94.818,1,946999
300 S 18TH ST,ESTHERVILLE,IA,51334,43.3973,-94.818,1,946990
300 S 18TH ST,ESTHERVILLE,IA,51334,43.3973,-94.818,1,946991
101 W MAIN ST,ST. LUCAS,IA,52166,43.06671,-91.9332,1,947000
305 PEMBER ST,MAYNARD,IA,50655,42.77056,-91.8801,1,948261
113 E MAIN HAWKEYE,HAWKEYE,IA,52147,42.9386,-91.952,1,948262
605 WASHINGTON ST,FAYETTE,IA,52142,42.83874,-91.8007,1,947002
23493 CANOE RD,ELGIN,IA,52141,42.97361,-91.652,1,947001
210 N VINE ST,WEST UNION,IA,52175,42.96279,-91.8081,1,947003
103 1ST AVE SW,WAUCOMA,IA,52171,43.0549,-92.0347,1,947004
116 MAIN ST E,FAIRBANK,IA,50629,42.63916,-92.051,1,947005
3202 40TH ST,ARLINGTON,IA,50606,42.6875,-91.6461,0.9,948263
305 PEMBER ST,MAYNARD,IA,50655,42.77056,-91.8801,1,947006
136 MILL ST,WADENA,IA,52169,42.84016,-91.6568,0.9,947007
111 8TH AVE NE,OELWEIN,IA,50662,42.67996,-91.9026,1,947008
300 12TH AVE SE,OELWEIN,IA,50662,42.6753,-91.8978,1,947009
300 12TH AVE SE,OELWEIN,IA,50662,42.6753,-91.8978,1,947010
300 12TH AVE SE,OELWEIN,IA,50662,42.6753,-91.8978,1,947011
300 12TH AVE SE,OELWEIN,IA,50662,42.6753,-91.8978,1,947012
111 8TH AVE NE,OELWEIN,IA,50662,42.67996,-91.9026,1,947013
23493 CANOE ROAD,ELGIN,IA,52141,42.97361,-91.652,1,947014
111 8TH AVE NE,OELWEIN,IA,50662,42.67996,-91.9026,1,947015
305 PEMBER ST,MAYNARD,IA,50655,42.77056,-91.8801,1,947016
210 N VINE ST,WEST UNION,IA,52175,42.96279,-91.8081,1,947017
212 S VINE ST,WEST UNION,IA,52175,42.9594,-91.8083,1,947019
114 N VINE ST,WEST UNION,IA,52175,42.96206,-91.808,1,947020
205 N VINE ST,WEST UNION,IA,52175,42.96271,-91.8084,1,947021
605 WASHINGTON ST,FAYETTE,IA,52142,42.83874,-91.8007,1,947018
1 COMET DR,CHARLES CITY,IA,50616,43.06139,-92.6592,1,947022
1 COMET DR,CHARLES CITY,IA,50616,43.06139,-92.6592,1,947023
1 COMET DR,CHARLES CITY,IA,50616,43.06139,-92.6592,1,947024
706 FAIRFIELD ST,FLOYD,IA,50435,43.1253,-92.7402,0.9,948264
509 IOWA AVE,NORA SPRINGS,IA,50458,43.14881,-93.0042,1,948266
1460 210TH ST,ROCKFORD,IA,50468,43.05283,-92.8103,0.6,948265
520 COLLEGE ST,MARBLE ROCK,IA,50653,42.96308,-92.8645,1,948268
1 COMET DR,CHARLES CITY,IA,50616,43.06139,-92.6592,1,948267
601 12TH AVE NE,HAMPTON,IA,50441,42.75282,-93.1987,1,1593558
601 12TH AVE NE,HAMPTON,IA,50441,42.75282,-93.1987,1,1593559
1441 GULL AVE,LATIMER,IA,50452,42.75082,-93.37,1,1593560
601 12TH AVE NE,HAMPTON,IA,50441,42.75282,-93.1987,1,947028
601 12TH AVE NE,HAMPTON,IA,50441,42.75282,-93.1987,1,947029
601 12TH AVE NE,HAMPTON,IA,50441,42.75282,-93.1987,1,947030
601 12TH AVE NE,HAMPTON,IA,50441,42.75282,-93.1987,1,947031
1441 GULL AVE,LATIMER,IA,50452,42.75082,-93.37,1,1593561
1441 GULL AVE,LATIMER,IA,50452,42.75082,-93.37,1,948272
504 PARK ST,SHEFFIELD,IA,50475,42.89631,-93.2181,1,1593562
601 12TH AVE NE,HAMPTON,IA,50441,42.75282,-93.1987,1,1593563
1441 GULL AVE,LATIMER,IA,50452,42.75082,-93.37,1,948274
907 HARTFORD AVE,FARRAGUT,IA,51639,40.72269,-95.481,1,947034
1114 US-275,TABOR,IA,51653,40.90237,-95.6712,1,948276
1004 ILLINOIS ST,SIDNEY,IA,51652,40.74975,-95.6474,0.8,947035
907 HARTFORD AVE,FARRAGUT,IA,51652,40.72269,-95.481,0.9,947038
1004 ILLINOIS ST,SIDNEY,IA,51652,40.74975,-95.6474,0.8,947039
220 N. CHESTNUT ST,JEFFERSON,IA,50129,42.01694,-94.3735,1,948277
107 MAIN ST E,GRAND JUNCTION,IA,50107,42.03188,-94.2387,1,948278
101 RAM DRIVE,JEFFERSON,IA,50129,42.00261,-94.3756,1,947040
101 RAM DRIVE,JEFFERSON,IA,50129,42.00261,-94.3756,1,947041
101 RAM DRIVE,JEFFERSON,IA,50129,42.00261,-94.3756,1,947042
414 SAND ST.,CHURDAN,IA,50050,42.15542,-94.4778,1,948279
900 MADISON ST.,SCRANTON,IA,51462,42.02205,-94.5429,1,948280
215 MAIN STREET,BEAMAN,IA,50609,42.21965,-92.8236,1,947043
1301 12TH ST,GRUNDY CENTER,IA,50638,42.35471,-92.7792,1,947044
1301 12TH ST,GRUNDY CENTER,IA,50638,42.35471,-92.7792,1,947045
1301 12TH ST,GRUNDY CENTER,IA,50638,42.35471,-92.7792,1,947046
330 MAIN STREET,DIKE,IA,50624,42.46749,-92.628,1,947047
300 CEDAR ST,REINBECK,IA,50669,42.31833,-92.5939,0.6,947048
1301 12TH ST,GRUNDY CENTER,IA,50638,42.35471,-92.7792,1,947049
3384 INDIGO AVE,ADAIR,IA,50002,41.52004,-94.5858,1,947050
701 W MAIN ST,PANORA,IA,50216,41.69159,-94.3747,1,947051
701 W MAIN ST,PANORA,IA,50216,41.69159,-94.3747,1,947052
900 SCHOOL ST,GUTHRIE CENTER,IA,50115,41.6687,-94.4967,1,947053
200 MAIN ST,YALE,IA,50277,41.84978,-94.5576,0.8,948281
3299 WHITE POLE RD,STUART,IA,50250,41.506,-94.3147,1,947054
301 3RD ST,BAYARD,IA,50029,41.85159,-94.5564,1,947055
900 SCHOOL ST,GUTHRIE CENTER,IA,50115,41.6687,-94.4967,1,947056
1229 KATHY LANE,WEBSTER CITY,IA,50595,42.46118,-93.8347,1,1593564
216 MAIN ST,WILLIAMS,IA,50271,42.48724,-93.5445,1,1593565
1000 SHAKESPEARE AVE,STRATFORD,IA,50249,42.27306,-93.927,1,1593566
315 DIVISION ST,JEWELL,IA,50130,42.3023,-93.645,1,1593567
1549 DEWITT ST,ELLSWORTH,IA,50075,42.31245,-93.5789,1,1593568
1901 WILLSON AVE,WEBSTER CITY,IA,50595,42.45892,-93.8194,1,947066
1229 KATHY LANE,WEBSTER CITY,IA,50595,42.46118,-93.8347,1,947067
1101 BOONE ST,WEBSTER CITY,IA,50595,42.46309,-93.8307,1,947068
605 W LYONS ST,GARNER,IA,50438,43.09033,-93.6099,1,947070
204 E MAIN ST,KLEMME,IA,50449,43.00675,-93.6007,0.9,947079
510 9TH AVE SW,BRITT,IA,50423,43.09067,-93.8129,1,947071
510 9TH AVE SW,BRITT,IA,50423,43.09067,-93.8129,1,947072
510 9TH AVE SW,BRITT,IA,50423,43.09067,-93.8129,1,947073
605 W LYONS ST,GARNER,IA,50438,43.09033,-93.6099,1,947074
605 W LYONS ST,GARNER,IA,50438,43.09033,-93.6099,1,947075
204 E MAIN ST,KLEMME,IA,50449,43.00675,-93.6007,0.9,947076
423 EAST 5TH ST,KANAWHA,IA,50447,42.93792,-93.7905,0.9,947077
423 EAST 5TH ST,KANAWHA,IA,50447,42.93792,-93.7905,0.9,947078
502 WEST ST,ALDEN,IA,50006,42.5186,-93.3815,1,947080
200 E. CHESTNUT ST.,HUBBARD,IA,50122,42.30432,-93.298,1,947081
1800 24TH ST,ELDORA,IA,50627,42.35641,-93.1142,1,1593569
1800 24TH ST,ELDORA,IA,50627,42.35641,-93.1142,1,947083
902 8TH AVE,ACKLEY,IA,50601,42.54564,-93.0514,1,947084
707 ELLSWORTH AVE,IOWA FALLS,IA,50126,42.49586,-93.2651,0.8,947085
1124 UNION ST,IOWA FALLS,IA,50126,42.5242,-93.2718,1,947086
1510 WASHINGTON AVE,IOWA FALLS,IA,50126,42.51996,-93.2782,1,947087
407 1ST ST,LITTLE SIOUX,IA,51545,41.80957,-96.0252,1,947093
"111 N 2ND AVE, 3RD FLOOR",LOGAN,IA,51546,41.64316,-95.7905,1,947092
605 E LINCOLN HIGHWAY,MISSOURI VALLEY,IA,51555,41.56386,-95.8837,1,947097
605 E LINCOLN HWY,MISSOURI VALLEY,IA,51555,41.56386,-95.8837,1,947096
3833 296TH ST,PERSIA,IA,51563,41.57942,-95.5684,1,947100
206 POLK ST,PISGAH,IA,51564,41.83221,-95.9284,1,947090
1102 IOWA AVE,DUNLAP,IA,51529,41.85351,-95.5942,1,947089
200 MAPLE STREET,MONDAMIN,IA,51579,41.71018,-96.0219,0.9,947095
"111 N 2ND AVE, 3RD FLOOR",LOGAN,IA,51546,41.64316,-95.7905,1,947094
704 NORMAL ST,WOODBINE,IA,51579,41.73923,-95.7079,1,947088
704 NORMAL ST,WOODBINE,IA,51579,41.73923,-95.7079,1,947099
108 E HALEY ST,MODALE,IA,51556,41.61865,-96.0111,1,947098
204 E 6TH ST,LOGAN,IA,51546,41.64392,-95.7891,1,947091
400 N. ADAMS ST.,MOUNT PLEASANT,IA,52641,40.96941,-91.5512,1,947101
801 E. HENRY ST.,MOUNT PLEASANT,IA,52641,40.9673,-91.5409,1,947102
600 N. MAIN ST.,MOUNT PLEASANT,IA,52641,40.97298,-91.5521,1,947103
501 S. CORKHILL ST.,MOUNT PLEASANT,IA,52641,40.96081,-91.5479,1,947104
2104 S. GRAND AVE.,MOUNT PLEASANT,IA,52641,40.93801,-91.5398,1,947105
208 S. OLIVE ST.,WINFIELD,IA,52659,41.12624,-91.4394,1,948323
706 N. PEARL ST.,WAYLAND,IA,52654,41.14522,-91.6585,0.4,948324
106 W. WILSON ST.,NEW LONDON,IA,52645,40.92507,-91.4019,1,948325
201 S. MAIN ST.,SALEM,IA,52649,40.8533,-91.6214,1,948326
701 BUSTI AVE,ELMA,IA,50628,43.24534,-92.4361,1,947106
14258 45TH ST,LIME SPRINGS,IA,52155,43.45071,-92.2932,1,947107
100 SCHROEDER DR,CRESCO,IA,52136,43.37431,-92.1048,0.6,947109
100 SCHROEDER DR,CRESCO,IA,52136,43.37431,-92.1048,0.6,947111
100 SCHROEDER DR,CRESCO,IA,52136,43.37431,-92.1048,0.6,947112
912 WOODLAND AVE,RICEVILLE,IA,50466,43.3556,-92.5541,1,1825047
100 SCHROEDER DR,CRESCO,IA,52136,43.37431,-92.1048,0.6,947114
14258 45TH ST,LIME SPRINGS,IA,52155,43.45071,-92.2932,1,1825048
100 SCHROEDER DR,CRESCO,IA,52136,43.37431,-92.1048,0.6,947110
612 2ND AVE N,HUMBOLDT,IA,50548,42.72343,-94.2171,1,1593570
612 2ND AVE N,HUMBOLDT,IA,50548,42.72343,-94.2171,1,947118
612 2ND AVE N,HUMBOLDT,IA,50548,42.72343,-94.2171,1,1593571
612 2ND AVE N,HUMBOLDT,IA,50548,42.72343,-94.2171,1,947121
612 2ND AVE N,HUMBOLDT,IA,50548,42.72343,-94.2171,1,947122
612 2ND AVE N,HUMBOLDT,IA,50548,42.72343,-94.2171,1,947123
612 2ND AVE N,HUMBOLDT,IA,50548,42.72343,-94.2171,1,1593572
612 2ND AVE N,HUMBOLDT,IA,50548,42.72343,-94.2171,1,1593573
612 2ND AVE N,HUMBOLDT,IA,50548,42.72343,-94.2171,1,1593574
403 BARNES ST.,IDA GROVE,IA,51445,42.34207,-95.4654,1,947127
403 BARNES ST.,IDA GROVE,IA,51445,42.34207,-95.4654,1,947133
519 E MAPLE ST,HOLSTEIN,IA,51025,42.48756,-95.5469,0.4,947129
519 E MAPLE ST,HOLSTEIN,IA,51025,42.48756,-95.5469,0.4,947128
403 BARNES ST.,IDA GROVE,IA,51445,42.34207,-95.4654,1,947130
403 BARNES ST.,IDA GROVE,IA,51445,42.34207,-95.4654,1,947131
403 BARNES ST.,IDA GROVE,IA,51445,42.34207,-95.4654,1,947132
461 WASHINGTON ST,MILLERSBURG,IA,52316,41.51772,-92.0817,0.9,947134
765 W BROAD ST,NORTH ENGLISH,IA,52316,41.51586,-92.0874,1,947135
2383 RAIDER DR,WILLIAMSBURG,IA,52361,41.65919,-92.0264,0.6,947136
710 2ND ST,VICTOR,IA,52347,41.73169,-92.2999,1,947139
710 2ND ST,VICTOR,IA,52347,41.73169,-92.2999,1,947138
235 E HILTON ST,MARENGO,IA,52301,41.7988,-92.0683,1,947140
235 E HILTON ST,MARENGO,IA,52301,41.7988,-92.0683,1,947137
3023 220TH TRAIL,MIDDLE AMANA,IA,52307,41.7941,-91.9027,0.6,947141
235 E HILTON ST,MARENGO,IA,52301,41.7988,-92.0683,1,947142
2383 RAIDER DR,WILLIAMSBURG,IA,52361,41.65919,-92.0264,0.6,947143
2383 RAIDER DR,WILLIAMSBURG,IA,52361,41.65919,-92.0264,0.6,947144
100 S 3RD ST,BELLEVUE,IA,52031,42.25746,-90.4251,1,947145
430 FERRY RD,MILES,IA,52064,42.04633,-90.3159,1,947154
411 BROAD ST,SABULA,IA,52070,42.07144,-90.1737,1,947155
1003 PERSHING RD,MAQUOKETA,IA,52060,42.07622,-90.6477,1,947156
126 S 2ND ST,MAQUOKETA,IA,52060,42.06812,-90.667,1,947157
600 W WASHINGSTON ST,MAQUOKETA,IA,52060,42.19807,-90.6058,0.33,947158
600 W WASHINGTON ST,MAQUOKETA,IA,52060,42.06007,-90.6715,1,947159
200 E LOCUST ST,MAQUOKETA,IA,52060,42.06444,-90.6629,1,947160
100 MAIN ST,ST DONATUS,IA,52071,42.36054,-90.5395,1,947146
523 ELM ST,LA MOTTE,IA,52054,42.29586,-90.6246,1,947147
21701 HILL DR,BERNARD,IA,52032,42.23774,-90.7711,0.6,947148
108 E WASHINGTON ST,MONMOUTH,IA,52309,42.07614,-90.8786,1,947149
13 S MARION ST,ANDREW,IA,52030,42.15215,-90.5915,1,947150
400 W QUARRY ST,MAQUOKETA,IA,52060,42.07107,-90.6696,1,947151
101 E MAIN ST,SPRINGBROOK,IA,52075,42.16405,-90.4772,0.8,947152
321 W SCHOOL ST,PRESTON,IA,52069,42.04782,-90.3977,1,947153
200 E RAILROAD ST,MINGO,IA,50168,41.76802,-93.2828,0.6,947173
204 N LEAGUE RD,COLFAX,IA,50054,41.67842,-93.2321,1,947161
204 N LEAGUE RD,COLFAX,IA,50054,41.67842,-93.2321,1,947164
20 W BROADWAY ST,COLFAX,IA,50054,41.67534,-93.246,1,947167
503 S STATE ST,PRAIRIE CITY,IA,50228,41.59473,-93.2341,1,947174
12476 1ST ST,SULLY,IA,50251,41.58234,-92.8437,1,1593575
400 E HWY 163,MONROE,IA,50170,41.51627,-93.0977,1,947175
417 FRONT ST,KELLOGE,IA,50135,41.71628,-92.9079,1,947176
203 S MAIN ST,BAXTER,IA,50028,41.82498,-93.1514,1,1593576
20 W BROADWAY ST,COLFAX,IA,50054,41.67534,-93.246,1,947179
1302 FIRST AVE. W,NEWTON,IA,50208,41.69933,-93.0696,1,947162
1900 N 5TH AVE E,NEWTON,IA,50208,41.70365,-93.0276,1,947163
700 N 4TH AVE E,NEWTON,IA,50208,41.70338,-93.0458,1,947165
1900 N 5TH AVE E,NEWTON,IA,50208,41.70365,-93.0276,1,947166
800 E 4TH ST S,NEWTON,IA,50208,41.69267,-93.0497,1,947168
310 E 23RD ST S,NEWTON,IA,50208,41.69637,-93.0242,1,947169
801 S 8TH ST W,NEWTON,IA,50208,41.69269,-93.044,1,947170
800 E 4TH ST S,NEWTON,IA,50208,41.69267,-93.0497,1,947171
103 THOMAS JEFFERSON RD,LAMBS GROVE,IA,50208,41.69949,-93.0772,0.9,947180
6232 HIGHWAY S74S,NEWTON,IA,50208,41.6257,-93.0388,1,947181
203 CHURCH ST,PACKWOOD,IA,52580,41.1337,-92.0827,1,947182
209 S. COURT ST.,FAIRFIELD,IA,52556,41.00526,-91.9623,1,947183
2606 W. BURLINGTON AVE.,FAIRFIELD,IA,52556,41.0062,-91.995,1,947184
406 E. MADISON AVE.,FAIRFIELD,IA,52556,41.00278,-91.9571,1,947186
200 N. MAIN ST.,FAIRFIELD,IA,52556,41.00876,-91.9638,1,947187
209 S. COURT ST.,FAIRFIELD,IA,52556,41.00526,-91.9623,1,947188
200 N. MAIN ST.,FAIRFIELD,IA,52556,41.00876,-91.9638,1,947189
2606 W. BURLINGTON AVE.,FAIRFIELD,IA,52556,41.0062,-91.995,1,947190
108 N. MAIN ST.,LIBERTYVILLE,IA,52567,40.95726,-92.0518,0.9,947185
304 ALTO ST.,BATAVIA,IA,52533,40.99526,-92.1668,1,947191
